,births_2020_21,deaths_2020_21,state_name_2016,,,
,268,79,New South Wales,,,
,124,53,New South Wales,,,
,249,210,New South Wales,,,
,240,71,New South Wales,,,
,291,57,New South Wales,,,
,288,162,New South Wales,,,
,22,26,New South Wales,,,
,129,53,Victoria,,,
,177,245,Victoria,,,
,225,89,New South Wales,,,
,79,23,New South Wales,,,
,179,179,Victoria,,,
,202,85,New South Wales,,,
,378,93,New South Wales,,,
,138,80,New South Wales,,,
,89,45,New South Wales,,,
,328,268,Victoria,,,
,445,90,New South Wales,,,
,332,76,New South Wales,,,
,62,17,Victoria,,,
,112,81,New South Wales,,,
,297,110,New South Wales,,,
,0,0,Victoria,,,
,192,166,New South Wales,,,
,32,30,Victoria,,,
,150,114,Victoria,,,
,353,86,New South Wales,,,
,195,130,New South Wales,,,
,307,349,New South Wales,,,
,132,182,New South Wales,,,
,647,78,New South Wales,,,
,345,105,New South Wales,,,
,378,193,New South Wales,,,
,352,94,New South Wales,,,
,307,68,New South Wales,,,
,0,0,New South Wales,,,
,554,80,New South Wales,,,
,343,198,New South Wales,,,
,40,28,Victoria,,,
,242,82,New South Wales,,,
,211,66,Victoria,,,
,254,124,New South Wales,,,
,70,25,New South Wales,,,
,154,70,New South Wales,,,
,203,76,New South Wales,,,
,0,0,New South Wales,,,
,93,134,New South Wales,,,
,185,40,New South Wales,,,
,120,58,New South Wales,,,
,179,90,New South Wales,,,
,234,182,New South Wales,,,
,241,47,New South Wales,,,
,58,92,New South Wales,,,
,0,0,New South Wales,,,
,223,69,New South Wales,,,
,615,77,New South Wales,,,
,156,85,New South Wales,,,
,277,54,New South Wales,,,
,430,125,New South Wales,,,
,190,42,New South Wales,,,
,265,204,New South Wales,,,
,103,16,New South Wales,,,
,200,199,New South Wales,,,
,61,36,New South Wales,,,
,163,56,New South Wales,,,
,91,19,New South Wales,,,
,280,67,New South Wales,,,
,140,54,New South Wales,,,
,76,44,Queensland,,,
,283,185,New South Wales,,,
,140,67,Victoria,,,
,521,33,New South Wales,,,
,0,0,New South Wales,,,
,300,69,New South Wales,,,
,110,41,New South Wales,,,
,226,110,New South Wales,,,
,341,148,New South Wales,,,
,55,77,Victoria,,,
,233,162,New South Wales,,,
,387,77,New South Wales,,,
,94,75,Victoria,,,
,446,112,New South Wales,,,
,392,128,New South Wales,,,
,547,121,New South Wales,,,
,152,81,Victoria,,,
,0,0,New South Wales,,,
,0,0,New South Wales,,,
,145,47,Victoria,,,
,384,130,New South Wales,,,
,529,76,New South Wales,,,
,67,49,New South Wales,,,
,154,92,New South Wales,,,
,164,75,Victoria,,,
,365,108,New South Wales,,,
,376,76,New South Wales,,,
,261,166,New South Wales,,,
,133,53,New South Wales,,,
,325,123,New South Wales,,,
,141,78,New South Wales,,,
,412,161,Victoria,,,
,146,93,New South Wales,,,
,185,108,New South Wales,,,
,225,91,New South Wales,,,
,269,65,New South Wales,,,
,167,68,Victoria,,,
,200,101,New South Wales,,,
,121,50,Victoria,,,
,81,124,New South Wales,,,
,156,87,Victoria,,,
,269,168,New South Wales,,,
,176,28,Victoria,,,
,180,88,New South Wales,,,
,27,22,New South Wales,,,
,432,192,New South Wales,,,
,44,19,New South Wales,,,
,161,38,New South Wales,,,
,192,56,Victoria,,,
,292,102,New South Wales,,,
,221,82,New South Wales,,,
,1112,100,New South Wales,,,
,109,48,Victoria,,,
,288,152,Victoria,,,
,0,0,New South Wales,,,
,201,108,Victoria,,,
,364,59,Victoria,,,
,146,27,New South Wales,,,
,233,33,New South Wales,,,
,141,64,Victoria,,,
,189,125,New South Wales,,,
,235,93,New South Wales,,,
,257,89,Victoria,,,
,232,170,New South Wales,,,
,75,42,New South Wales,,,
,51,31,Victoria,,,
,216,132,New South Wales,,,
,106,45,New South Wales,,,
,40,59,Victoria,,,
,226,110,New South Wales,,,
,234,46,Victoria,,,
,35,28,New South Wales,,,
,76,31,Victoria,,,
,69,63,Victoria,,,
,202,149,New South Wales,,,
,92,65,New South Wales,,,
,42,24,Victoria,,,
,53,91,Victoria,,,
,0,0,New South Wales,,,
,218,93,New South Wales,,,
,100,32,Victoria,,,
,75,39,Victoria,,,
,80,42,Victoria,,,
,314,104,New South Wales,,,
,551,173,New South Wales,,,
,274,123,New South Wales,,,
,149,85,Victoria,,,
,174,62,New South Wales,,,
,407,90,New South Wales,,,
,105,23,New South Wales,,,
,30,14,New South Wales,,,
,193,90,New South Wales,,,
,230,110,New South Wales,,,
,0,0,New South Wales,,,
,270,192,New South Wales,,,
,138,211,New South Wales,,,
,201,76,New South Wales,,,
,161,67,Victoria,,,
,146,64,New South Wales,,,
,321,156,New South Wales,,,
,24,14,New South Wales,,,
,97,57,New South Wales,,,
,171,54,Victoria,,,
,85,86,Victoria,,,
,70,77,New South Wales,,,
,94,128,Victoria,,,
,85,48,New South Wales,,,
,63,46,Victoria,,,
,21,20,Victoria,,,
,226,118,New South Wales,,,
,329,201,New South Wales,,,
,92,135,Victoria,,,
,319,152,Victoria,,,
,232,96,New South Wales,,,
,89,34,New South Wales,,,
,248,240,Victoria,,,
,273,190,Victoria,,,
,65,45,Victoria,,,
,71,65,Victoria,,,
,57,24,Victoria,,,
,145,63,Victoria,,,
,69,82,Victoria,,,
,34,14,Victoria,,,
,187,173,Victoria,,,
,69,124,Victoria,,,
,42,62,Victoria,,,
,163,225,Victoria,,,
,168,93,Victoria,,,
,199,160,Victoria,,,
,321,210,Victoria,,,
,110,131,Victoria,,,
,88,50,Victoria,,,
,87,47,Victoria,,,
,230,224,Victoria,,,
,101,75,Victoria,,,
,74,17,Victoria,,,
,94,85,Victoria,,,
,101,35,Victoria,,,
,146,44,Victoria,,,
,81,118,Victoria,,,
,60,75,Victoria,,,
,47,53,Victoria,,,
,68,86,Victoria,,,
,51,53,Victoria,,,
,131,110,Victoria,,,
,293,132,Victoria,,,
,516,289,Victoria,,,
,136,96,Victoria,,,
,192,104,Victoria,,,
,240,106,Victoria,,,
,40,64,Victoria,,,
,195,34,Victoria,,,
,123,209,Victoria,,,
,99,46,Victoria,,,
,145,182,Victoria,,,
,187,121,Victoria,,,
,63,71,Victoria,,,
,49,44,Victoria,,,
,173,124,Victoria,,,
,44,50,Victoria,,,
,336,174,Victoria,,,
,30,58,Victoria,,,
,45,58,Victoria,,,
,193,124,Victoria,,,
,309,194,Victoria,,,
,49,100,Victoria,,,
,289,100,Victoria,,,
,45,75,Victoria,,,
,46,82,Victoria,,,
,52,73,Victoria,,,
,47,15,Victoria,,,
,3,3,Victoria,,,
,27,30,Victoria,,,
,92,145,Victoria,,,
,25,22,Victoria,,,
,34,35,Victoria,,,
,197,219,Victoria,,,
,78,45,Victoria,,,
,36,45,Victoria,,,
,51,66,Victoria,,,
,31,14,Victoria,,,
,155,180,Victoria,,,
,44,57,Victoria,,,
,273,156,Victoria,,,
,102,38,Victoria,,,
,228,181,Victoria,,,
,221,116,Victoria,,,
,39,33,Queensland,,,
,203,57,Victoria,,,
,207,170,Victoria,,,
,120,68,Victoria,,,
,159,108,Victoria,,,
,72,57,Victoria,,,
,184,22,Victoria,,,
,32,33,Victoria,,,
,0,0,Victoria,,,
,0,0,Victoria,,,
,159,69,Victoria,,,
,186,36,Victoria,,,
,162,63,Victoria,,,
,11,0,Victoria,,,
,124,81,Victoria,,,
,236,171,Victoria,,,
,97,121,Queensland,,,
,98,40,Victoria,,,
,84,30,Victoria,,,
,97,32,Victoria,,,
,98,60,Victoria,,,
,108,61,Victoria,,,
,97,49,Victoria,,,
,324,126,Victoria,,,
,62,55,Victoria,,,
,96,118,Victoria,,,
,167,112,Victoria,,,
,104,56,Victoria,,,
,197,78,Victoria,,,
,90,95,Victoria,,,
,138,231,Victoria,,,
,130,44,Victoria,,,
,197,139,Victoria,,,
,56,35,Victoria,,,
,84,71,Victoria,,,
,169,213,Victoria,,,
,210,139,Victoria,,,
,55,71,Victoria,,,
,115,173,Victoria,,,
,115,204,Victoria,,,
,91,107,Victoria,,,
,147,114,Victoria,,,
,179,155,Victoria,,,
,86,105,Victoria,,,
,143,134,Victoria,,,
,126,177,Victoria,,,
,157,95,Victoria,,,
,78,74,Victoria,,,
,78,67,Victoria,,,
,77,69,Victoria,,,
,109,198,Victoria,,,
,205,143,Victoria,,,
,195,111,Victoria,,,
,276,156,Victoria,,,
,178,169,Victoria,,,
,54,23,Victoria,,,
,0,0,Victoria,,,
,135,61,Victoria,,,
,195,163,Victoria,,,
,58,19,Victoria,,,
,60,68,Queensland,,,
,274,181,Victoria,,,
,167,89,Victoria,,,
,116,91,Victoria,,,
,83,43,Victoria,,,
,0,0,Victoria,,,
,201,144,Victoria,,,
,176,142,Victoria,,,
,162,169,Victoria,,,
,96,69,Victoria,,,
,200,143,Victoria,,,
,176,190,Victoria,,,
,195,111,Victoria,,,
,51,36,Victoria,,,
,352,95,Victoria,,,
,114,78,Victoria,,,
,53,30,Victoria,,,
,51,15,Queensland,,,
,164,81,Victoria,,,
,361,64,Victoria,,,
,121,77,Victoria,,,
,186,113,Victoria,,,
,115,44,Victoria,,,
,73,83,Queensland,,,
,79,79,Victoria,,,
,356,277,Victoria,,,
,272,81,Victoria,,,
,294,190,Victoria,,,
,241,128,Victoria,,,
,137,68,Victoria,,,
,206,91,Victoria,,,
,0,0,Victoria,,,
,164,93,Victoria,,,
,31,13,Victoria,,,
,50,14,Victoria,,,
,27,21,Victoria,,,
,60,75,Victoria,,,
,59,18,Victoria,,,
,141,77,Victoria,,,
,56,31,Victoria,,,
,271,162,Victoria,,,
,160,106,Victoria,,,
,126,47,Victoria,,,
,232,134,Victoria,,,
,389,49,Victoria,,,
,157,114,Victoria,,,
,95,116,Victoria,,,
,167,20,Victoria,,,
,109,73,Victoria,,,
,214,92,Victoria,,,
,378,49,Victoria,,,
,140,81,Victoria,,,
,130,19,Victoria,,,
,231,127,Victoria,,,
,147,121,Victoria,,,
,342,158,Victoria,,,
,463,27,Victoria,,,
,111,51,Victoria,,,
,200,127,Victoria,,,
,79,48,Victoria,,,
,412,223,Victoria,,,
,60,27,Victoria,,,
,257,287,Victoria,,,
,80,33,Victoria,,,
,60,43,Victoria,,,
,119,73,Victoria,,,
,26,17,Victoria,,,
,101,40,Victoria,,,
,29,13,Victoria,,,
,33,11,Victoria,,,
,117,40,Victoria,,,
,141,73,Victoria,,,
,205,77,Victoria,,,
,202,113,Victoria,,,
,183,112,Victoria,,,
,213,116,Victoria,,,
,255,65,Victoria,,,
,184,69,Victoria,,,
,0,0,Victoria,,,
,404,46,Victoria,,,
,90,43,Victoria,,,
,266,74,Victoria,,,
,82,48,Victoria,,,
,115,30,Victoria,,,
,186,89,Victoria,,,
,138,46,Victoria,,,
,171,15,Victoria,,,
,85,31,Victoria,,,
,139,104,Queensland,,,
